IMDb Rank,Movie Title,Reelgood Query URL
95,Eternal Sunshine of the Spotless Mind,https://reelgood.com/movie/eternal-sunshine-of-the-spotless-mind-2004
96,Citizen Kane,https://reelgood.com/movie/citizen-kane-1941
97,Capharnaüm,https://reelgood.com/movie/capharnaüm-2018
98,The Hunt,https://reelgood.com/movie/the-hunt-2012
99,Full Metal Jacket,https://reelgood.com/movie/full-metal-jacket-1987
100,North by Northwest,https://reelgood.com/movie/north-by-northwest-1959
101,A Clockwork Orange,https://reelgood.com/movie/a-clockwork-orange-1971
102,Bicycle Thieves,https://reelgood.com/movie/bicycle-thieves-1948
103,The Kid,https://reelgood.com/movie/the-kid-1921
104,Snatch,https://reelgood.com/movie/snatch-2000
105,Singin in the Rain,https://reelgood.com/movie/singin-in-the-rain-1952
106,Scarface,https://reelgood.com/movie/scarface-1983
107,Taxi Driver,https://reelgood.com/movie/taxi-driver-1976
108,Amélie,https://reelgood.com/movie/amélie-2001
109,Lawrence of Arabia,https://reelgood.com/movie/lawrence-of-arabia-1962
110,The Sting,https://reelgood.com/movie/the-sting-1973
111,Toy Story 3,https://reelgood.com/movie/toy-story-3-2010
112,Metropolis,https://reelgood.com/movie/metropolis-1927
113,Ikiru,https://reelgood.com/movie/ikiru-1952
114,For a Few Dollars More,https://reelgood.com/movie/for-a-few-dollars-more-1965
115,A Separation,https://reelgood.com/movie/a-separation-2011
116,Double Indemnity,https://reelgood.com/movie/double-indemnity-1944
117,The Apartment,https://reelgood.com/movie/the-apartment-1960
118,Incendies,https://reelgood.com/movie/incendies-2010
119,To Kill a Mockingbird,https://reelgood.com/movie/to-kill-a-mockingbird-1962
120,Indiana Jones and the Last Crusade,https://reelgood.com/movie/indiana-jones-and-the-last-crusade-1989
121,Up,https://reelgood.com/movie/up-2009
122,L,https://reelgood.com/movie/l-1997
123,Heat,https://reelgood.com/movie/heat-1995
124,Monty Python and the Holy Grail,https://reelgood.com/movie/monty-python-and-the-holy-grail-1975
125,Die Hard,https://reelgood.com/movie/die-hard-1988
126,Rashômon,https://reelgood.com/movie/rashômon-1950
127,Yojimbo,https://reelgood.com/movie/yojimbo-1961
128,Batman Begins,https://reelgood.com/movie/batman-begins-2005
129,Come and See,https://reelgood.com/movie/come-and-see-1985
130,Green Book,https://reelgood.com/movie/green-book-2018
131,Children of Heaven,https://reelgood.com/movie/children-of-heaven-1997
132,Downfall,https://reelgood.com/movie/downfall-2004
133,Unforgiven,https://reelgood.com/movie/unforgiven-1992
134,Some Like It Hot,https://reelgood.com/movie/some-like-it-hot-1959
135,Ran,https://reelgood.com/movie/ran-1985
136,Howls Moving Castle,https://reelgood.com/movie/howls-moving-castle-2004
137,The Great Escape,https://reelgood.com/movie/the-great-escape-1963
138,All About Eve,https://reelgood.com/movie/all-about-eve-1950
139,A Beautiful Mind,https://reelgood.com/movie/a-beautiful-mind-2001
140,Casino,https://reelgood.com/movie/casino-1995
141,Pans Labyrinth,https://reelgood.com/movie/pans-labyrinth-2006
142,The Secret in Their Eyes,https://reelgood.com/movie/the-secret-in-their-eyes-2009
143,My Neighbor Totoro,https://reelgood.com/movie/my-neighbor-totoro-1988
144,The Wolf of Wall Street,https://reelgood.com/movie/the-wolf-of-wall-street-2013
145,Raging Bull,https://reelgood.com/movie/raging-bull-1980
146,Lock Stock and Two Smoking Barrels,https://reelgood.com/movie/lock-stock-and-two-smoking-barrels-1998
147,The Treasure of the Sierra Madre,https://reelgood.com/movie/the-treasure-of-the-sierra-madre-1948
