,Title,Streaming On,Price
0,Inception,YouTube,From $3.99
1,Inception,Google Play Movies & TV,From $3.99
2,Inception,iTunes,From $3.99
3,Inception,Vudu,From $3.99
4,Inception,Amazon Prime Video,From $3.99
5,Inception,Netflix,Subscription
