,Title,Streaming On,Price
0,The shawshank redemption,YouTube,3.99
1,The shawshank redemption,iTunes,3.99
2,The shawshank redemption,Google Play Movies & TV,3.99
3,The shawshank redemption,Vudu,3.99
4,The shawshank redemption,Amazon Prime Video,3.99
5,The shawshank redemption,Philo,Subscription
6,The shawshank redemption,YouTube,3.99
7,The shawshank redemption,iTunes,3.99
8,The shawshank redemption,Google Play Movies & TV,3.99
9,The shawshank redemption,Vudu,3.99
10,The shawshank redemption,Amazon Prime Video,3.99
11,The shawshank redemption,Philo,Subscription
12,The shawshank redemption,YouTube,3.99
13,The shawshank redemption,iTunes,3.99
14,The shawshank redemption,Google Play Movies & TV,3.99
15,The shawshank redemption,Vudu,3.99
16,The shawshank redemption,Amazon Prime Video,3.99
17,The shawshank redemption,Philo,Subscription
18,The shawshank redemption,YouTube,3.99
19,The shawshank redemption,iTunes,3.99
20,The shawshank redemption,Google Play Movies & TV,3.99
21,The shawshank redemption,Vudu,3.99
22,The shawshank redemption,Amazon Prime Video,3.99
23,The shawshank redemption,Philo,Subscription
24,The shawshank redemption,YouTube,3.99
25,The shawshank redemption,iTunes,3.99
26,The shawshank redemption,Google Play Movies & TV,3.99
27,The shawshank redemption,Vudu,3.99
28,The shawshank redemption,Amazon Prime Video,3.99
29,The shawshank redemption,Philo,Subscription
30,The godfather,YouTube,2.99
31,The godfather,Google Play Movies & TV,2.99
32,The godfather,Vudu,2.99
33,The godfather,Amazon Prime Video,2.99
34,The godfather: part ii,YouTube,2.99
35,The godfather: part ii,Google Play Movies & TV,2.99
36,The godfather: part ii,Vudu,2.99
37,The godfather: part ii,Amazon Prime Video,2.99
38,The dark knight,YouTube,3.99
39,The dark knight,Google Play Movies & TV,3.99
40,The dark knight,iTunes,3.99
41,The dark knight,Vudu,3.99
42,The dark knight,Amazon Prime Video,3.99
43,The dark knight,Hulu,Subscription
44,12 angry men,Amazon Prime Video,2.99
45,12 angry men,YouTube,3.99
46,12 angry men,Google Play Movies & TV,3.99
47,12 angry men,iTunes,3.99
48,12 angry men,Vudu,3.99
49,Schindler's list,YouTube,3.99
50,Schindler's list,Google Play Movies & TV,3.99
51,Schindler's list,Vudu,3.99
52,Schindler's list,iTunes,3.99
53,Schindler's list,Amazon Prime Video,3.99
54,Schindler's list,Hulu,Subscription
55,The lord of the rings: the return of the king,YouTube,3.99
56,The lord of the rings: the return of the king,iTunes,3.99
57,The lord of the rings: the return of the king,Google Play Movies & TV,3.99
58,The lord of the rings: the return of the king,Vudu,3.99
59,The lord of the rings: the return of the king,Amazon Prime Video,3.99
60,Pulp fiction,YouTube,3.99
61,Pulp fiction,Google Play Movies & TV,3.99
62,Pulp fiction,iTunes,3.99
63,Pulp fiction,Vudu,3.99
64,Pulp fiction,Amazon Prime Video,3.99
65,Pulp fiction,Hulu,Subscription
66,"The good, the bad and the ugly",Amazon Prime Video,0.99
67,"The good, the bad and the ugly",YouTube,3.99
68,"The good, the bad and the ugly",iTunes,3.99
69,"The good, the bad and the ugly",Google Play Movies & TV,3.99
70,"The good, the bad and the ugly",Vudu,3.99
71,"The good, the bad and the ugly",Netflix,Subscription
72,The lord of the rings: the fellowship of the ring,Vudu,2.99
73,The lord of the rings: the fellowship of the ring,Amazon Prime Video,2.99
74,The lord of the rings: the fellowship of the ring,YouTube,3.99
75,The lord of the rings: the fellowship of the ring,iTunes,3.99
76,Fight club,YouTube,3.99
77,Fight club,Google Play Movies & TV,3.99
78,Fight club,Vudu,3.99
79,Fight club,Amazon Prime Video,3.99
80,Fight club,Hulu,Subscription
81,Fight club,HBO Now,Subscription
82,Forrest gump,YouTube,2.99
83,Forrest gump,Google Play Movies & TV,2.99
84,Forrest gump,Vudu,2.99
85,Forrest gump,Amazon Prime Video,2.99
86,Forrest gump,iTunes,3.99
87,Forrest gump,Hulu,Subscription
88,Inception,YouTube,3.99
89,Inception,Google Play Movies & TV,3.99
90,Inception,iTunes,3.99
91,Inception,Vudu,3.99
92,Inception,Amazon Prime Video,3.99
93,Inception,Netflix,Subscription
94,Star wars: episode v - the empire strikes back,YouTube,19.99
95,Star wars: episode v - the empire strikes back,Google Play Movies & TV,19.99
96,Star wars: episode v - the empire strikes back,iTunes,19.99
97,Star wars: episode v - the empire strikes back,Vudu,19.99
98,Star wars: episode v - the empire strikes back,Amazon Prime Video,19.99
99,Star wars: episode v - the empire strikes back,Hulu,Subscription
100,The lord of the rings: the two towers,iTunes,3.99
101,The lord of the rings: the two towers,Google Play Movies & TV,3.99
102,The lord of the rings: the two towers,Vudu,3.99
103,The lord of the rings: the two towers,Amazon Prime Video,3.99
104,The matrix,YouTube,3.99
105,The matrix,iTunes,3.99
106,The matrix,Google Play Movies & TV,3.99
107,The matrix,Vudu,3.99
108,The matrix,Amazon Prime Video,3.99
109,The matrix,Netflix,Subscription
110,Goodfellas,YouTube,3.99
111,Goodfellas,Google Play Movies & TV,3.99
112,Goodfellas,iTunes,3.99
113,Goodfellas,Vudu,3.99
114,Goodfellas,Amazon Prime Video,3.99
115,Goodfellas,Hulu,Subscription
116,One flew over the cuckoo's nest,YouTube,3.99
117,One flew over the cuckoo's nest,Google Play Movies & TV,3.99
118,One flew over the cuckoo's nest,iTunes,3.99
119,One flew over the cuckoo's nest,Vudu,3.99
120,One flew over the cuckoo's nest,Amazon Prime Video,3.99
121,Seven samurai,YouTube,2.99
122,Seven samurai,Google Play Movies & TV,2.99
123,Seven samurai,Vudu,2.99
124,Seven samurai,Amazon Prime Video,2.99
125,Seven samurai,iTunes,3.99
126,Se7en,YouTube,3.99
127,Se7en,iTunes,3.99
128,Se7en,Google Play Movies & TV,3.99
129,Se7en,Vudu,3.99
130,Se7en,Amazon Prime Video,3.99
131,Se7en,Hulu,Subscription
132,Life is beautiful,YouTube,3.99
133,Life is beautiful,Google Play Movies & TV,3.99
134,Life is beautiful,iTunes,3.99
135,Life is beautiful,Vudu,3.99
136,Life is beautiful,Amazon Prime Video,3.99
137,Life is beautiful,Hulu,Subscription
138,City of god,YouTube,3.99
139,City of god,Google Play Movies & TV,3.99
140,City of god,iTunes,3.99
141,City of god,Vudu,3.99
142,City of god,Amazon Prime Video,3.99
143,The silence of the lambs,YouTube,3.99
144,The silence of the lambs,Google Play Movies & TV,3.99
145,The silence of the lambs,iTunes,3.99
146,The silence of the lambs,Vudu,3.99
147,The silence of the lambs,Amazon Prime Video,3.99
148,The silence of the lambs,Sling TV,Subscription
149,It's a wonderful life,YouTube,2.99
150,It's a wonderful life,Google Play Movies & TV,2.99
151,It's a wonderful life,Vudu,2.99
152,It's a wonderful life,Amazon Prime Video,2.99
153,It's a wonderful life,iTunes,12.99
154,Star wars: episode iv - a new hope,YouTube,19.99
155,Star wars: episode iv - a new hope,iTunes,19.99
156,Star wars: episode iv - a new hope,Google Play Movies & TV,19.99
157,Star wars: episode iv - a new hope,Vudu,19.99
158,Star wars: episode iv - a new hope,Amazon Prime Video,19.99
159,Star wars: episode iv - a new hope,Hulu,Subscription
160,Parasite,YouTube,3.99
161,Parasite,Google Play Movies & TV,3.99
162,Parasite,Amazon Prime Video,3.99
163,Parasite,Vudu,5.99
164,Parasite,Hulu,Subscription
165,Saving private ryan,YouTube,2.99
166,Saving private ryan,Google Play Movies & TV,2.99
167,Saving private ryan,Vudu,2.99
168,Saving private ryan,Amazon Prime Video,2.99
169,Saving private ryan,iTunes,3.99
170,Saving private ryan,Sling TV,Subscription
171,Spirited away,YouTube,11.99
172,Spirited away,Google Play Movies & TV,11.99
173,Spirited away,Vudu,11.99
174,Spirited away,Amazon Prime Video,11.99
175,The green mile,YouTube,3.99
176,The green mile,Google Play Movies & TV,3.99
177,The green mile,Vudu,3.99
178,The green mile,iTunes,3.99
179,The green mile,Amazon Prime Video,3.99
180,The green mile,Hulu,Subscription
181,Interstellar,YouTube,2.99
182,Interstellar,Google Play Movies & TV,2.99
183,Interstellar,Vudu,2.99
184,Interstellar,Amazon Prime Video,2.99
185,Interstellar,iTunes,3.99
186,Interstellar,Hulu,Subscription
187,Léon: the professional,Vudu,2.99
188,Léon: the professional,Amazon Prime Video,2.99
189,Léon: the professional,YouTube,9.99
190,Léon: the professional,Google Play Movies & TV,9.99
191,The usual suspects,YouTube,Free
192,The usual suspects,Tubi,Free
193,The usual suspects,Google Play Movies & TV,3.99
194,The usual suspects,iTunes,3.99
195,The usual suspects,Vudu,3.99
196,The usual suspects,Amazon Prime Video,3.99
197,Harakiri,iTunes,3.99
198,Harakiri,Amazon Prime Video,3.99
199,The lion king,YouTube,14.99
200,The lion king,Google Play Movies & TV,14.99
201,The lion king,iTunes,14.99
202,The lion king,Vudu,14.99
203,The lion king,Amazon Prime Video,14.99
204,The lion king,Disney+,Subscription
205,American history x,YouTube,3.99
206,American history x,Google Play Movies & TV,3.99
207,American history x,iTunes,3.99
208,American history x,Vudu,3.99
209,American history x,Amazon Prime Video,3.99
210,American history x,Hulu,Subscription
211,The pianist,YouTube,3.99
